Timestamp,Section A : Respondent Role,Gender,Age Range,Education Level,Working Experience ,Employment Type,I feel free to undertake tasks and decisions independently at work.,I always feel free and comfortable to convey my innovative ideas to the seniors and to get those ideas implemented in the work norms to enhance the performance of McDonald’s.,I feel very happy regarding pay wages compared to workload. ,"I believe that everyone on the staff is treated equally at McDonald’s irrespective of their cast, creed, region, and religion. ",I can put McDonald’s on Higher ranking regarding the safety and security of staff while working at McDonald’s.,My workplace is the best example of work–life balance. ,Gender,Age Range,Employment status,Education Level,  How often do you eat McDonald’s?  , The prices at McDonald‘s are fair.,McDonald‘s food tastes good.,McDonald‘s meals are served quickly.,McDonald‘s restaurants are clean and well taken care of.,McDonalds restaurants have an appealing interior design.,McDonald‘s restaurants are a comfortable place to eat in.,Working at McDonald’s is a wonderful and interesting experience.  
11/18/2025 16:42:31,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,A few times a month,4,5,5,3,3,4,
11/18/2025 16:42:59,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,A few times a month,3,5,5,3,3,3,
11/18/2025 17:27:11,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,Daily,5,5,5,5,5,5,
11/19/2025 10:49:50,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,A few times a month,4,5,4,5,5,5,
11/19/2025 10:51:12,Employee McDonald’s,Female,26-35,Diploma,1-3 years,full-time,5,5,5,5,5,,,,,,,,,,,,,
11/19/2025 10:51:35,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Working professional,Secondary School,Daily,5,5,5,5,5,5,
11/19/2025 10:52:53,Customer McDonald’s,,,,,,,,,,,,Male,18-25,Student,Bachelor's degree,A few times a week,3,4,5,4,4,5,
11/19/2025 11:54:32,Customer McDonald’s,,,,,,,,,,,,Male,18-25,Student,Bachelor's degree,A few times a month,4,4,4,4,5,4,
11/19/2025 16:43:34,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,A few times a month,4,5,5,4,5,5,
11/20/2025 0:20:34,Customer McDonald’s,,,,,,,,,,,,Female,18-25,Student,Bachelor's degree,A few times a week,5,5,5,5,5,5,
